;;;;;;;;;;;;;;;;;;;;
PNAD Covid;;;;;;;;;;;;;;;;;;;;
Periodicidade da divulgação: Mensal;;;;;;;;;;;;;;;;;;;;
Nota:os indicadores de mercado de trabalho são para as pessoas de 14 anos ou mais de idade e tem como referência a semana anterior a entrevista;;;;;;;;;;;;;;;;;;;;
Nota 1: Inclusive pessoas de cor amarela ou indígena.;;;;;;;;;;;;;;;;;;;;
Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Julho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro;
População Residente (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;  33 952 ;  33 822 ; - ;  33 566 ; - ;  33 544 ; - ;  33 513 ; - ;  33 560 ; - ;  33 622 ; - ;
População Residente (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;  62 898 ;  62 611 ; - ;  62 659 ; - ;  62 523 ; - ;  62 617 ; - ;  62 724 ; - ;  62 783 ; - ;
População Residente (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;  27 742 ;  27 468 ; - ;  27 612 ; - ;  27 804 ; - ;  27 783 ; - ;  27 709 ; - ;  27 796 ; - ;
CV - População Residente (%);País;Brasil;Sexo;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Sexo;Homem;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Sexo;Mulher;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Cor ou raça;Total1;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Cor ou raça;Branca;-;-;0,5;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;
CV - População Residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;0,2;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;0,2;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Nível de instrução;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - População Residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,3;0,3;-;0,3;-;0,3;-;0,3;-;0,3;-;0,3;-;
CV - População Residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - População Residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - População Residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,2;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;
Distribuição da população residente (%);País;Brasil;Sexo;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;
Distribuição da população residente (%);País;Brasil;Sexo;Homem;-;-;48,9;48,9;-;48,9;-;48,9;-;48,9;-;48,9;-;48,9; - ;
Distribuição da população residente (%);País;Brasil;Sexo;Mulher;-;-;51,1;51,1;-;51,1;-;51,1;-;51,1;-;51,1;-;51,1; - ;
Distribuição da população residente (%);País;Brasil;Cor ou raça;Total1;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição da população residente (%);País;Brasil;Cor ou raça;Branca;-;-;44,1;44,0;-;44,0;-;44,1;-;44,2;-;44,2;-;44,2; - ;
Distribuição da população residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;54,8;55,0;-;54,9;-;54,8;-;54,8;-;54,8;-;54,7; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;19,4;19,4;-;19,4;-;19,4;-;19,3;-;19,3;-;19,3; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;25,1;25,1;-;25,1;-;25,0;-;25,0;-;24,9;-;24,9; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;30,0;30,0;-;30,0;-;30,0;-;30,0;-;30,0;-;30,0; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;11,3;11,3;-;11,3;-;11,3;-;11,3;-;11,3;-;11,3; - ;
Distribuição da população residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;14,2;14,3;-;14,3;-;14,3;-;14,4;-;14,4;-;14,4; - ;
Distribuição da população residente (%);País;Brasil;Nível de instrução;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição da população residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;40,9;41,3;-;41,3;-;41,4;-;41,4;-;41,4;-;41,3; - ;
Distribuição da população residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;16,1;16,0;-;15,9;-;15,9;-;15,9;-;15,9;-;15,9; - ;
Distribuição da população residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;29,8;29,7;-;29,7;-;29,6;-;29,6;-;29,7;-;29,7; - ;
Distribuição da população residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;13,2;13,0;-;13,1;-;13,2;-;13,1;-;13,1;-;13,1; - ;
CV - Distribuição da população residente (%);País;Brasil;Sexo;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Sexo;Homem;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Sexo;Mulher;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Total1;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Branca;-;-;0,5;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;
CV - Distribuição da população residente (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;0,2;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;0,2;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,3;0,3;-;0,3;-;0,3;-;0,3;-;0,3;-;0,3;-;
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Distribuição da população residente (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,2;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Total;-;-;  169 893 ;  170 146 ; Aumento ;  170 209 ; Estável ;  170 312 ; Aumento ;  170 531 ; Aumento ;  170 601 ; Estável ;  170 742 ; Aumento ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Homem;-;-;  82 173 ;  82 325 ; - ;  82 362 ; - ;  82 419 ; - ;  82 504 ; - ;  82 541 ; - ;  82 613 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Sexo;Mulher;-;-;  87 721 ;  87 821 ; - ;  87 846 ; - ;  87 894 ; - ;  88 027 ; - ;  88 061 ; - ;  88 129 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;  169 893 ;  170 146 ; - ;  170 209 ; - ;  170 312 ; - ;  170 531 ; - ;  170 601 ; - ;  170 742 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;  74 931 ;  74 833 ; - ;  74 902 ; - ;  75 146 ; - ;  75 254 ; - ;  75 240 ; - ;  75 336 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;  92 897 ;  93 395 ; - ;  93 358 ; - ;  93 264 ; - ;  93 410 ; - ;  93 503 ; - ;  93 514 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;Total;-;-;  169 893 ;  170 146 ; - ;  170 209 ; - ;  170 312 ; - ;  170 531 ; - ;  170 601 ; - ;  170 742 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;14 a 29 anos;-;-;  52 947 ;  53 020 ; - ;  52 906 ; - ;  52 831 ; - ;  52 871 ; - ;  52 767 ; - ;  52 729 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;30 a 49 anos;-;-;  63 203 ;  63 258 ; - ;  63 312 ; - ;  63 364 ; - ;  63 417 ; - ;  63 468 ; - ;  63 521 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;50 a 59 anos;-;-;  23 759 ;  23 792 ; - ;  23 823 ; - ;  23 854 ; - ;  23 884 ; - ;  23 914 ; - ;  23 944 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Grupos de idade;60 anos ou mais;-;-;  29 983 ;  30 076 ; - ;  30 167 ; - ;  30 263 ; - ;  30 359 ; - ;  30 452 ; - ;  30 548 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;  169 893 ;  170 146 ; - ;  170 209 ; - ;  170 312 ; - ;  170 531 ; - ;  170 601 ; - ;  170 742 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;  45 583 ;  46 466 ; - ;  46 582 ; - ;  46 646 ; - ;  46 795 ; - ;  46 778 ; - ;  46 697 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;  33 672 ;  33 601 ; - ;  33 355 ; - ;  33 339 ; - ;  33 335 ; - ;  33 389 ; - ;  33 466 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;  62 898 ;  62 611 ; - ;  62 659 ; - ;  62 523 ; - ;  62 617 ; - ;  62 724 ; - ;  62 783 ; - ;
Pessoas de 14 anos ou mais de idade (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;  27 742 ;  27 468 ; - ;  27 612 ; - ;  27 804 ; - ;  27 783 ; - ;  27 709 ; - ;  27 796 ; - ;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;0,1;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;0,1;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;0,5;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;0,2;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;0,2;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,2;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;100,0;100,0;Aumento;100,0;Queda;100,0;Queda;100,0;Aumento;100,0;Queda;100,0;Queda;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;48,4;48,4;-;48,4;-;48,4;-;48,4;-;48,4;-;48,4; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;51,6;51,6;-;51,6;-;51,6;-;51,6;-;51,6;-;51,6; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;44,1;44,0;-;44,0;-;44,1;-;44,1;-;44,1;-;44,1; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;54,7;54,9;-;54,8;-;54,8;-;54,8;-;54,8;-;54,8; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;31,2;31,2;-;31,1;-;31,0;-;31,0;-;30,9;-;30,9; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;37,2;37,2;-;37,2;-;37,2;-;37,2;-;37,2;-;37,2; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;14,0;14,0;-;14,0;-;14,0;-;14,0;-;14,0;-;14,0; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;17,6;17,7;-;17,7;-;17,8;-;17,8;-;17,9;-;17,9; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;26,8;27,3;-;27,4;-;27,4;-;27,4;-;27,4;-;27,3; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;19,8;19,7;-;19,6;-;19,6;-;19,5;-;19,6;-;19,6; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;37,0;36,8;-;36,8;-;36,7;-;36,7;-;36,8;-;36,8; - ;
Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;16,3;16,1;-;16,2;-;16,3;-;16,3;-;16,2;-;16,3; - ;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Homem;-;-;0,1;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Sexo;Mulher;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Total1;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Branca;-;-;0,5;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;0,5;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Cor ou raça;Preta ou parda;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;14 a 29 anos;-;-;0,1;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;0,1;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;30 a 49 anos;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;50 a 59 anos;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Grupos de idade;60 anos ou mais;-;-;0,1;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Total;-;-;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;0,6;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;0,6;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;0,4;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;0,4;-;
CV - Distribuição das pessoas de 14 anos ou mais de idade (%);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;1,2;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;1,2;-;
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Total;-;-;  84 404 ;  83 449 ; Queda ;  81 484 ; Queda ;  82 141 ; Aumento ;  82 934 ; Aumento ;  84 134 ; Aumento ;  84 661 ; Aumento ;
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Homem;-;-;  48 284 ;  47 914 ; - ;  47 469 ; - ;  48 014 ; - ;  48 558 ; - ;  49 192 ; - ;  49 446 ; - ;
Pessoas ocupadas (mil pessoas);País;Brasil;Sexo;Mulher;-;-;  36 120 ;  35 535 ; - ;  34 015 ; - ;  34 127 ; - ;  34 377 ; - ;  34 942 ; - ;  35 214 ; - ;
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;  84 404 ;  83 449 ; - ;  81 484 ; - ;  82 141 ; - ;  82 934 ; - ;  84 134 ; - ;  84 661 ; - ;
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;  39 243 ;  38 670 ; - ;  37 943 ; - ;  38 255 ; - ;  38 648 ; - ;  39 128 ; - ;  39 343 ; - ;
Pessoas ocupadas (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;  44 115 ;  43 832 ; - ;  42 624 ; - ;  42 957 ; - ;  43 361 ; - ;  44 094 ; - ;  44 386 ; - ;
